time	V(n004)
Step Information: Ampl=6  (Run: 1/14)
7.491568368809663e-007	1.662108e-003
7.511099618809664e-007	1.662761e-003
7.530630868809664e-007	1.663412e-003
7.550162118809665e-007	1.664063e-003
7.569693368809665e-007	1.664713e-003
7.589224618809666e-007	1.665363e-003
7.608755868809666e-007	1.666012e-003
7.628287118809667e-007	1.666660e-003
7.647818368809667e-007	1.667307e-003
7.667349618809668e-007	1.667954e-003
7.686880868809668e-007	1.668600e-003
7.706412118809669e-007	1.669245e-003
7.725943368809669e-007	1.669889e-003
7.745474618809670e-007	1.670533e-003
7.765005868809670e-007	1.671176e-003
7.784537118809671e-007	1.671818e-003
7.804068368809671e-007	1.672460e-003
7.823599618809671e-007	1.673101e-003
7.843130868809672e-007	1.673741e-003
7.862662118809672e-007	1.674380e-003
7.882193368809673e-007	1.675019e-003
7.901724618809673e-007	1.675657e-003
7.921255868809674e-007	1.676294e-003
7.940787118809674e-007	1.676931e-003
7.960318368809675e-007	1.677567e-003
7.979849618809675e-007	1.678202e-003
7.999380868809676e-007	1.678837e-003
8.018912118809676e-007	1.679471e-003
8.038443368809677e-007	1.680104e-003
8.057974618809677e-007	1.680736e-003
8.077505868809678e-007	1.681368e-003
8.097037118809678e-007	1.681999e-003
8.116568368809679e-007	1.682629e-003
8.136099618809679e-007	1.683259e-003
8.155630868809680e-007	1.683888e-003
8.175162118809680e-007	1.684516e-003
8.194693368809680e-007	1.685144e-003
8.214224618809681e-007	1.685771e-003
8.233755868809681e-007	1.686397e-003
8.253287118809682e-007	1.687023e-003
8.272818368809682e-007	1.687648e-003
8.292349618809683e-007	1.688272e-003
8.311880868809683e-007	1.688895e-003
8.331412118809684e-007	1.689518e-003
8.350943368809684e-007	1.690140e-003
8.370474618809685e-007	1.690762e-003
8.390005868809685e-007	1.691383e-003
8.409537118809686e-007	1.692003e-003
8.429068368809686e-007	1.692623e-003
8.448599618809687e-007	1.693242e-003
